Project ID,Project Name,Project Start Date,Address,Borough,Postcode,Community Board,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status
53624,CONFIDENTIAL,10/16/2014,---- ----,Queens,,QN-03,,New Construction,Non Prevailing Wage
53666,CONFIDENTIAL,10/16/2014,---- ----,Queens,,QN-06,,New Construction,Non Prevailing Wage
58506,625 West 57th Street Apartments (20140275),10/16/2014,625 WEST 57 STREET,Manhattan,10019.0,MN-04,MN15,New Construction,Non Prevailing Wage
65108,2999 WEBSTER AVE,10/15/2014,2999 WEBSTER AVENUE,Bronx,10458.0,BX-07,BX05,New Construction,Non Prevailing Wage
53612,CONFIDENTIAL,10/14/2014,---- ----,Brooklyn,,BK-05,,New Construction,Non Prevailing Wage
53212,CONFIDENTIAL,10/09/2014,---- ----,Brooklyn,,BK-03,,Preservation,Non Prevailing Wage
58198,CONFIDENTIAL,10/09/2014,---- ----,Queens,,QN-12,,Preservation,Non Prevailing Wage
51585,217-221 W. 29th Street,10/08/2014,221 WEST 29 STREET,Manhattan,10001.0,MN-05,MN17,New Construction,Non Prevailing Wage
53610,CONFIDENTIAL,10/07/2014,---- ----,Queens,,QN-09,,New Construction,Non Prevailing Wage
53623,CONFIDENTIAL,10/07/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
53665,CONFIDENTIAL,10/06/2014,---- ----,Staten Island,,SI-01,,New Construction,Non Prevailing Wage
53211,CONFIDENTIAL,10/03/2014,---- ----,Brooklyn,,BK-18,,Preservation,Non Prevailing Wage
50104,Crotona Terrace I aka 1825 Boston Road,10/02/2014,1825 BOSTON ROAD,Bronx,10460.0,BX-03,BX75,New Construction,Non Prevailing Wage
58197,CONFIDENTIAL,10/02/2014,---- ----,Brooklyn,,BK-18,,Preservation,Non Prevailing Wage
53572,CONFIDENTIAL,09/30/2014,---- ----,Queens,,QN-02,,New Construction,Non Prevailing Wage
53588,CONFIDENTIAL,09/30/2014,---- ----,Brooklyn,,BK-07,,New Construction,Non Prevailing Wage
53590,CONFIDENTIAL,09/30/2014,---- ----,Queens,,QN-12,,New Construction,Non Prevailing Wage
58196,CONFIDENTIAL,09/30/2014,---- ----,Brooklyn,,BK-05,,Preservation,Non Prevailing Wage
53064,CONFIDENTIAL,09/29/2014,---- ----,Queens,,QN-10,,Preservation,Non Prevailing Wage
53579,CONFIDENTIAL,09/25/2014,---- ----,Brooklyn,,BK-03,,New Construction,Non Prevailing Wage
58195,CONFIDENTIAL,09/25/2014,---- ----,Queens,,QN-13,,Preservation,Non Prevailing Wage
58194,CONFIDENTIAL,09/24/2014,---- ----,Brooklyn,,BK-02,,Preservation,Non Prevailing Wage
53194,CONFIDENTIAL,09/23/2014,---- ----,Bronx,,BX-09,,Preservation,Non Prevailing Wage
55511,Arverne/Nordak,09/23/2014,353 BEACH 57 STREET,Queens,11692.0,QN-14,QN12,Preservation,Non Prevailing Wage
48638,LANTERN. 330-332 WEST 51ST ST. STARDOM HALL,09/19/2014,330 WEST 51 STREET,Manhattan,10019.0,MN-04,MN15,Preservation,Non Prevailing Wage
