school/sat.School Name,school/sat.Number of Test Takers,school/sat.Critical Reading Mean,school/sat.Mathematics Mean,school/sat.Writing Mean,DBN
MARBLE HILL SCH INTL STUDIES ,70.0,406.0,429.0,403.0,10X477
WEST BRONX ACADEMY FOR FUTURE ,32.0,365.0,382.0,375.0,10X243
Satellite Academy High School ,16.0,400.0,336.0,376.0,02M570
NEW YORK CITY PUB SCH REP COMP ,32.0,415.0,405.0,397.0,02M531
EDWARD R MURROW HIGH SCHOOL ,686.0,472.0,503.0,468.0,21K525
BROOKLYN TECHNICAL HIGH SCHOOL ,1047.0,588.0,652.0,581.0,13K430
"Enterprise, Business and Technology High School ",80.0,360.0,390.0,354.0,14K478
NYC iSchool ,,,,,02M376
Cultural Academy for the Arts and Sciences ,,,,,18K629
Jonathan Levin HS for Media and Communications ,81.0,347.0,353.0,351.0,09X414
Acorn High School for Social Justice ,34.0,367.0,364.0,364.0,16K498
Grace Dodge Vocational High School ,93.0,380.0,385.0,369.0,10X660
Robert F Kennedy Community High School ,61.0,449.0,471.0,462.0,25Q670
HIGH SCHOOL FOR PUBLIC SERVICE ,83.0,412.0,427.0,420.0,17K546
High School For Law Enforcement And Public Safety ,62.0,408.0,429.0,412.0,28Q690
YABC AT ABRAHAM LINCOLN HIGH SCHOOL ,,,,,21K412/21K411
AUTOMOTIVE HIGH SCHOOL ,73.0,353.0,359.0,340.0,14K610
Kurt Hahn Expeditionary Learning School ,,,,,18K569
MOTT HALL BRONX HIGH SCHOOL ,63.0,395.0,398.0,399.0,09X252
Pablo Neruda Academy Architecture & World Studies ,54.0,359.0,358.0,338.0,08X305
VALIDUS PREPARATORY ACADEMY ,90.0,359.0,347.0,356.0,09X263
EBC High School for Public Service - East New York ,24.0,376.0,358.0,368.0,23K645
High School For Math Science Engineering City Coll ,106.0,592.0,627.0,575.0,05M692
HIGH SCHOOL FOR ARTS/BUSINESS ,127.0,363.0,372.0,363.0,24Q550
Young Women's Leadership School of Astoria ,,,,,04M610
CYPRESS HILLS COLLEGIATE PREPARATORY SCH ,50.0,398.0,402.0,378.0,19K659
METROPOLITAN HIGH SCHOOL ,42.0,340.0,361.0,335.0,12X248
NEW EXPLORERS HIGH SCHOOL ,36.0,382.0,376.0,376.0,07X547
PHOENIX SCHOOL ,7.0,404.0,423.0,416.0,79X490
GRAMERCY ARTS HIGH SCHOOL ,49.0,395.0,376.0,386.0,02M374
YABC AT JOHN F. KENNEDY HIGH SCHOOL ,12.0,389.0,383.0,364.0,10X478
"High School For Arts, Imagination And Inquiry ",57.0,364.0,378.0,357.0,03M299
High School for Law and Public Service ,106.0,388.0,388.0,378.0,06M467
WEST BROOKLYN COMMUNITY HIGH SCHOOL ,11.0,363.0,382.0,381.0,15K529
William E. Grady Vocational Technical High School ,56.0,385.0,393.0,361.0,21K620
NEW DORP HIGH SCHOOL ,282.0,431.0,446.0,434.0,31R440
MS 348 Washington Heights Expeditionary Learning S ,,,,,06M348
