school/math.Grade,school/math.Year,school/math.Category,school/math.Number Tested,school/math.Mean Scale Score,school/math.Level 1 #,school/math.Level 1 %,school/math.Level 2 #,school/math.Level 2 %,school/math.Level 3 #,school/math.Level 3 %,school/math.Level 4 #,school/math.Level 4 %,school/math.Level 3+4 #,school/math.Level 3+4 %,DBN
All Grades,2009,All Students,239,,2.0,0.8,17.0,7.1,113.0,47.3,107.0,44.8,220.0,92.1,25Q252
3,2010,All Students,145,697.0,1.0,0.7,32.0,22.1,70.0,48.3,42.0,29.0,112.0,77.2,10X032
4,2006,All Students,82,646.0,12.0,14.6,26.0,31.7,42.0,51.2,2.0,2.4,44.0,53.7,04M050
4,2011,All Students,145,689.0,3.0,2.1,43.0,29.7,65.0,44.8,34.0,23.4,99.0,68.3,19K214
6,2010,All Students,20,601.0,18.0,90.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,75M811
All Grades,2008,All Students,156,,7.0,4.5,38.0,24.4,95.0,60.9,16.0,10.3,111.0,71.2,04M038
6,2007,All Students,76,662.0,3.0,3.9,24.0,31.6,43.0,56.6,6.0,7.9,49.0,64.5,09X241
7,2008,All Students,330,651.0,24.0,7.3,135.0,40.9,148.0,44.8,23.0,7.0,171.0,51.8,31R049
All Grades,2008,All Students,264,,20.0,7.6,91.0,34.5,140.0,53.0,13.0,4.9,153.0,58.0,07X343
5,2010,All Students,56,744.0,0.0,0.0,0.0,0.0,5.0,8.9,51.0,91.1,56.0,100.0,03M334
6,2009,All Students,383,675.0,11.0,2.9,54.0,14.1,236.0,61.6,82.0,21.4,318.0,83.0,24Q093
All Grades,2008,All Students,145,,66.0,45.5,51.0,35.2,28.0,19.3,0.0,0.0,28.0,19.3,75Q075
7,2007,All Students,64,632.0,15.0,23.4,27.0,42.2,19.0,29.7,3.0,4.7,22.0,34.4,09X004
3,2009,All Students,1,,,,,,,,,,,,75M226
4,2011,All Students,1,,,,,,,,,,,,75Q255
4,2010,All Students,95,671.0,8.0,8.4,43.0,45.3,36.0,37.9,8.0,8.4,44.0,46.3,28Q054
5,2010,All Students,117,667.0,7.0,6.0,68.0,58.1,37.0,31.6,5.0,4.3,42.0,35.9,27Q043
3,2009,All Students,50,678.0,0.0,0.0,2.0,4.0,43.0,86.0,5.0,10.0,48.0,96.0,12X211
3,2009,All Students,101,684.0,3.0,3.0,5.0,5.0,78.0,77.2,15.0,14.9,93.0,92.1,01M020
4,2007,All Students,41,684.0,1.0,2.4,7.0,17.1,21.0,51.2,12.0,29.3,33.0,80.5,21K238
3,2007,All Students,48,609.0,32.0,66.7,14.0,29.2,2.0,4.2,0.0,0.0,2.0,4.2,75K231
