air/rh_and_dp_daily_summary.o3_AQI,air/rh_and_dp_daily_summary.f0_,air/rh_and_dp_daily_summary.f1_,air/rh_and_dp_daily_summary.f2_,air/rh_and_dp_daily_summary.f3_,air/rh_and_dp_daily_summary.f4_,air/rh_and_dp_daily_summary.f5_,air/rh_and_dp_daily_summary.f6_,Day
,74.7119241192412,8.127371273712738,23.93766937669377,99.74525745257452,California,Inyo,Independence,2010-01-12
,70.91609977324264,8.360544217687073,23.96371882086165,99.85487528344662,Arizona,Pima,Not in a city,2021-02-23
,77.80461956521742,5.535326086956522,23.722826086956537,98.84782608695645,California,Inyo,Independence,2008-07-10
,72.191011235955,5.775280898876401,15.053370786516856,99.6011235955056,California,Kern,Arvin,2001-10-16
,78.42800000000005,11.384000000000007,23.647999999999996,98.53600000000006,North Carolina,Mecklenburg,Charlotte,2004-01-27
,68.25738636363639,11.647727272727272,23.931818181818187,99.7159090909091,California,Inyo,Lone Pine,2022-03-13
,81.38345153664297,8.354609929078022,23.78014184397162,99.08747044917264,Idaho,Idaho,Not in a city,2014-12-24
,81.82780612244892,6.846938775510209,23.920918367346943,99.6683673469388,California,Inyo,Independence,2010-05-23
,75.51741293532338,8.726368159203984,23.815920398009947,99.24378109452736,California,Kern,Arvin,2000-12-04
,51.31168831168832,11.194805194805191,23.870129870129865,99.46753246753248,New York,Rensselaer,Not in a city,1992-11-15
,83.79227053140103,5.710144927536229,23.71014492753623,98.80676328502416,California,Kern,Arvin,2000-06-20
,80.29217171717164,6.474747474747471,23.94191919191919,99.760101010101,California,Inyo,Independence,2010-08-08
,76.14646924829157,9.555808656036431,23.879271070615022,99.49886104783604,Indiana,Jasper,Not in a city,2015-12-19
,68.46766169154228,6.22885572139304,16.636815920398003,99.35820895522392,Arizona,Pima,Tucson,1995-07-29
,75.44838709677417,8.054838709677416,15.780645161290307,99.1387096774194,California,Kern,Arvin,2001-01-22
,74.61799163179913,7.2050209205020925,23.786610878661087,99.10878661087852,California,Inyo,Lone Pine,2022-01-15
,79.24972972972968,9.49459459459459,23.8891891891892,99.54054054054056,California,Inyo,Independence,2010-01-14
