air/hap_daily_summary.o3_AQI,air/hap_daily_summary.f0_,air/hap_daily_summary.f1_,air/hap_daily_summary.f2_,air/hap_daily_summary.f3_,air/hap_daily_summary.f4_,air/hap_daily_summary.f5_,air/hap_daily_summary.f6_,Day
,0.5195052010166351,0.0660813308687614,1.0697781885397422,99.720887245841,Colorado,Denver,Denver,2019-02-02
,1.6688958333333337,7.687499999999997,10.833333333333336,85.55208333333334,District Of Columbia,District of Columbia,Washington,2006-06-06
,0.7844825581395352,0.709302325581396,2.156976744186046,99.2674418604651,Michigan,Wayne,Detroit,2003-04-13
,2.9439570833333333,11.19444444444445,16.763888888888893,81.38888888888886,Vermont,Chittenden,Burlington,2008-07-09
,0.2051234426229506,0.0,1.0,100.0,California,Marin,San Rafael,1991-02-06
,0.4758161166538763,0.2440521872601685,1.2824251726784337,99.08442056792018,Colorado,Denver,Denver,2021-12-30
,0.3376666666666666,0.0,1.0,100.0,Kansas,Wyandotte,Kansas City,1993-03-22
,18.945933333333336,8.299999999999999,19.43333333333333,87.60000000000002,Illinois,Cook,Northbrook,2006-11-21
,1.1741324324324325,9.648648648648647,16.135135135135133,87.37837837837836,New Hampshire,Hillsborough,Peterborough (Peterboro),2019-07-09
,1.1601666666666668,4.222222222222221,2.555555555555556,95.88888888888889,Texas,Harris,Houston,1994-10-16
,0.1779194262295075,0.4827868852459021,1.579508196721311,98.96311475409838,California,Alameda,Livermore,2018-08-03
,1.0791454312114996,0.3896303901437377,1.1914784394250546,97.36909650924026,Maine,Cumberland,Not in a city,1996-09-12
,4.674692307692308,4.423076923076923,1.576923076923077,47.42307692307693,Alabama,Jefferson,Pinson,1993-06-28
,0.1766295178719869,0.4239401496259345,1.5037406483790532,98.91521197007476,California,Alameda,Livermore,2018-07-10
,3.6446545454545456,2.931818181818181,5.409090909090909,96.63636363636364,California,Kern,Bakersfield,1999-11-09
,0.2410747806004623,0.3233256351039251,1.5011547344110845,99.75596612779069,Vermont,Chittenden,Burlington,2007-11-17
