air/no2_daily_summary.o3_AQI,air/no2_daily_summary.f0_,air/no2_daily_summary.f1_,air/no2_daily_summary.f2_,air/no2_daily_summary.f3_,air/no2_daily_summary.f4_,air/no2_daily_summary.f5_,air/no2_daily_summary.f6_,Day
19.62395543175487,20.98941504178272,10.83008356545961,22.888579387186635,95.4512534818942,Wyoming,Sweetwater,Not in a city,2010-10-21
29.010050251256278,30.58894472361806,11.793969849246231,22.771356783919597,94.97989949748742,North Dakota,Mercer,Beulah,1998-08-13
24.509950248756205,25.88930348258707,11.266169154228866,22.728855721393025,94.81840796019904,North Dakota,Mercer,Beulah,1998-06-29
26.04884318766067,27.6077120822622,13.26478149100256,23.13110539845759,96.4627249357326,Puerto Rico,Catano,Catano,2005-02-14
30.634328358208943,32.30199004975127,12.4776119402985,22.84577114427859,95.28109452736324,North Dakota,Mercer,Not in a city,2001-10-25
37.00892857142857,39.48720238095237,13.351190476190476,22.851190476190464,95.30654761904763,North Dakota,Mercer,Beulah,1993-12-08
28.13450292397661,29.72222222222222,9.327485380116952,22.72222222222224,94.77485380116956,North Dakota,Mercer,Beulah,1993-05-18
28.89354838709678,30.4683870967742,9.841935483870978,22.58387096774192,94.19677419354842,North Dakota,Mercer,Beulah,1990-07-05
25.93382352941177,27.457598039215657,9.328431372549025,22.992647058823543,95.89705882352936,California,Fresno,Fresno,2003-04-14
31.61772151898733,33.39518987341774,12.220253164556963,23.12911392405061,96.4582278481012,North Dakota,Mercer,Not in a city,2001-01-12
26.90314136125656,28.40759162303665,10.77748691099476,23.08900523560209,96.30104712041889,North Dakota,Mercer,Beulah,1997-04-18
23.47474747474747,24.83535353535352,11.411616161616166,22.863636363636367,95.37373737373734,North Dakota,Mercer,Beulah,1998-06-22
25.83286908077992,27.353203342618365,11.348189415041784,22.67688022284122,94.5849582172702,North Dakota,Mercer,Beulah,1993-07-21
22.2800982800983,23.51105651105652,12.388206388206385,22.999999999999996,95.87469287469293,North Dakota,Mercer,Not in a city,2004-04-25
24.88888888888887,26.327642276422765,10.940379403794038,22.956639566395676,95.739837398374,North Dakota,Mercer,Not in a city,2008-10-09
19.04265402843601,20.49170616113744,12.43601895734598,22.883886255924168,95.4431279620853,Wyoming,Sweetwater,Not in a city,2018-10-31
22.204176334106737,23.804408352668226,11.06264501160094,22.821345707656604,95.19025522041764,Wyoming,Sweetwater,Not in a city,2016-04-18
31.04736842105263,32.92973684210526,11.578947368421051,22.76842105263157,94.97894736842107,North Dakota,Steele,Sharon,1999-01-21
10.33862433862433,11.017989417989424,9.420634920634924,22.809523809523817,95.1693121693122,Wyoming,Sweetwater,Not in a city,2010-07-25
30.774111675126917,32.95609137055841,13.078680203045694,22.522842639593907,93.95685279187823,North Dakota,Mercer,Beulah,1998-09-17
13.910364145658267,14.913725490196075,11.787114845938358,22.62184873949579,94.35014005602244,Wyoming,Sweetwater,Not in a city,2011-06-20
32.773885350318466,34.53152866242037,11.601910828025485,22.62420382165607,94.35987261146498,North Dakota,Mercer,Beulah,1991-01-17
27.70634920634922,29.256878306878303,11.555555555555566,22.843915343915352,95.28571428571426,North Dakota,Mercer,Beulah,1998-03-31
40.749271137026255,42.70553935860056,13.446064139941678,22.629737609329435,94.39941690962094,North Dakota,Mercer,Beulah,1993-03-01
22.534653465346526,23.85767326732672,9.279702970297024,22.871287128712883,95.37871287128708,California,Fresno,Fresno,2003-07-31
20.65075376884423,21.87060301507537,12.979899497487438,23.17587939698493,96.68090452261303,North Dakota,Mercer,Not in a city,2001-04-22
28.309455587392545,29.85845272206305,13.790830945558742,23.424068767908327,97.66762177650426,North Dakota,Mercer,Beulah,1994-09-25
28.012755102040803,29.76249999999999,13.992346938775498,22.74489795918365,94.8647959183673,North Dakota,Steele,Sharon,2000-12-18
16.86021505376344,18.089247311827947,11.15053763440861,23.1021505376344,96.3467741935484,Wyoming,Sweetwater,Not in a city,2012-10-04
34.73712737127371,36.7639566395664,12.5230352303523,22.61788617886178,94.36314363143636,North Dakota,Mercer,Beulah,1996-08-22
26.17528735632185,27.57356321839082,12.672413793103438,22.63505747126437,94.42528735632185,North Dakota,Mercer,Beulah,1993-06-07
16.734491315136474,17.717121588089334,9.42183622828784,23.26302729528537,97.0347394540944,Puerto Rico,Catano,Catano,2006-06-04
27.061797752808975,28.7685393258427,13.730337078651685,22.867977528089867,95.37359550561796,Wyoming,Sweetwater,Not in a city,2010-12-02
16.534562211981555,17.88548387096774,12.320276497695856,23.00230414746544,95.92396313364056,Wyoming,Fremont,Riverton,2021-09-23
