air/co_daily_summary.o3_AQI,air/co_daily_summary.f0_,air/co_daily_summary.f1_,air/co_daily_summary.f2_,air/co_daily_summary.f3_,air/co_daily_summary.f4_,air/co_daily_summary.f5_,air/co_daily_summary.f6_,Day
8.261728395061729,0.8625975308641984,8.058024691358026,23.52592592592593,98.06296296296304,Alabama,Jefferson,Birmingham,2004-09-17
9.40963855421687,0.9375502008032124,9.485943775100411,23.75903614457832,99.01706827309226,Alabama,Jefferson,Birmingham,1996-05-25
13.68354430379748,1.3950369588173204,8.86483632523759,23.85638859556496,99.42133051742336,Alabama,Jefferson,Birmingham,1992-08-08
23.193293885601577,2.6428007889546343,13.506903353057195,23.35996055226823,97.37376725838264,Alabama,Jefferson,Birmingham,1993-01-25
23.667311411992262,2.379980657640231,9.18762088974854,23.775628626692487,99.08800773694384,Alabama,Jefferson,Birmingham,1996-01-14
19.51072961373392,1.977706323687028,10.335476956055732,23.80600214362274,99.2122186495177,Alabama,Jefferson,Birmingham,1991-02-24
11.58008658008658,1.191323210412149,8.984815618221269,23.611713665943597,98.40130151843822,Alabama,Jefferson,Birmingham,1992-07-11
5.899665551839464,0.6181903171953262,8.213689482470775,22.968280467445748,95.7612687813022,Pennsylvania,York,York,2015-11-12
3.8053691275167782,0.4228305369127518,7.795302013422818,23.203020134228183,96.73657718120796,Pennsylvania,York,York,2013-09-26
6.735632183908043,0.6852624521072798,9.614942528735623,20.86590038314178,86.94061302681995,Arizona,Maricopa,Buckeye,2018-01-01
8.88151658767772,0.9879229857819892,10.63507109004739,23.53436018957345,98.09597156398104,Alabama,Jefferson,Birmingham,2004-10-22
11.631188118811885,1.1346868811881188,7.837871287128721,23.655940594059413,98.60519801980192,Alabama,Jefferson,Birmingham,2005-11-06
7.953846153846152,0.8594404609475027,9.53008962868117,23.222791293213827,96.8117797695263,Alabama,Jefferson,Birmingham,2005-09-21
6.883495145631066,0.6538834951456307,9.338187702265383,23.23786407766992,96.87540453074428,Montana,Gallatin,West Yellowstone,2010-12-29
7.616666666666672,0.8367103694874846,9.971394517282487,23.41835518474376,97.61501787842656,Alabama,Jefferson,Birmingham,2005-03-30
4.520000000000003,0.4771749999999995,6.0883333333333285,23.061666666666643,96.13500000000003,Pennsylvania,York,York,2012-04-10
14.41955193482688,1.5033639143730886,10.355759429153933,23.843017329255847,99.36595310907238,Alabama,Jefferson,Birmingham,1993-04-17
10.863414634146348,1.156857490864799,9.168087697929352,23.35079171741779,97.32886723507916,Alabama,Jefferson,Birmingham,2005-10-14
6.471337579617832,0.6643748006379584,8.349282296650726,23.30462519936204,97.15151515151518,Pennsylvania,York,York,2012-12-20
12.048289738430586,1.290725806451612,11.3235887096774,23.38810483870965,97.49193548387096,Alabama,Jefferson,Birmingham,1995-05-25
16.69690721649483,1.7932028836251246,12.54891864057672,21.100926879505653,87.8836251287332,Alabama,Jefferson,Birmingham,2001-01-01
4.0,0.418230769230769,7.714285714285711,23.29670329670327,97.39560439560444,Arizona,Maricopa,Buckeye,2018-04-27
18.041999999999977,1.8567000000000016,10.900000000000004,23.83700000000001,99.34099999999988,Alabama,Jefferson,Birmingham,2000-02-05
12.698380566801626,1.3511133603238856,9.532388663967591,23.266194331983847,96.98684210526312,Alabama,Jefferson,Birmingham,1995-06-21
14.109278350515462,1.5295876288659815,10.187628865979368,23.399999999999984,97.54329896907208,Alabama,Jefferson,Birmingham,2001-01-16
12.47628865979381,1.3584107327141364,8.76160990712073,23.38493292053664,97.47678018575864,Alabama,Jefferson,Birmingham,1993-06-02
18.46435452793836,1.9891136801541411,12.302504816955691,23.509633911368013,97.99710982658956,Alabama,Jefferson,Birmingham,1996-01-02
10.951710261569424,1.1647887323943644,9.368209255533204,23.35613682092556,97.3571428571429,Alabama,Jefferson,Birmingham,1997-06-05
4.6013513513513535,0.4672736486486485,9.442567567567574,23.06925675675676,96.18581081081078,Pennsylvania,York,York,2015-02-23
21.59767891682784,2.109320388349516,10.833009708737832,23.588349514563102,98.304854368932,Alabama,Jefferson,Birmingham,1995-12-31
12.290178571428582,1.3532366071428572,9.648437500000004,23.55245535714287,98.1774553571429,Alabama,Jefferson,Birmingham,2002-10-15
13.036866359447004,1.3911290322580645,9.411290322580646,23.513824884792648,98.01152073732716,Alabama,Jefferson,Birmingham,2004-01-30
5.310626702997281,0.5242425068119884,4.5572207084468666,23.761580381471383,99.04495912806532,Alabama,Jefferson,Birmingham,2006-05-21
8.93074792243767,0.9172673130193896,10.009695290858732,23.642659279778407,98.55124653739615,Alabama,Jefferson,Birmingham,2007-12-23
2.956953642384106,0.2933432835820894,6.124378109452733,23.477611940298537,97.87893864013266,Montana,Gallatin,West Yellowstone,2011-05-15
7.636627906976742,0.7488749999999993,8.786337209302308,23.472383720930225,97.83866279069768,Arizona,Maricopa,Buckeye,2009-01-04
6.727891156462582,0.6866519524617992,8.164685908319175,23.351443123938896,97.35653650254666,Arizona,Maricopa,Buckeye,2016-01-15
3.355072463768117,0.3390507246376806,6.239130434782609,23.17753623188405,96.61775362318838,Pennsylvania,York,York,2017-07-13
4.797047970479705,0.4864444444444444,8.87037037037036,23.00370370370369,95.89814814814822,Arizona,Maricopa,Buckeye,2018-11-05
4.407843137254906,0.4698375733855186,8.203522504892359,23.039138943248524,96.04892367906062,Arizona,Maricopa,Buckeye,2019-02-19
20.694230769230792,2.2674038461538477,11.891346153846166,23.529807692307667,98.08076923076923,Alabama,Jefferson,Birmingham,1995-11-07
27.69762845849801,3.0876237623762406,12.570297029702957,23.292079207920786,97.08811881188122,Alabama,Jefferson,Birmingham,1992-12-01
