air/temperature_daily_summary.o3_AQI,air/temperature_daily_summary.f0_,air/temperature_daily_summary.f1_,air/temperature_daily_summary.f2_,air/temperature_daily_summary.f3_,air/temperature_daily_summary.f4_,air/temperature_daily_summary.f5_,air/temperature_daily_summary.f6_,Day
,85.1158345221113,13.302425106990022,23.944365192582023,99.77175463623392,North Dakota,Williams,Not in a city,2007-07-23
,74.55279187817257,12.469543147208126,23.85913705583755,99.4175126903554,Hawaii,Honolulu,Not in a city,2021-04-30
,83.32558139534878,13.761627906976749,23.68023255813954,98.6656976744186,Alaska,Denali ,Not in a city,1993-08-23
,44.279069767441854,8.071881606765334,23.90063424947146,99.58985200845667,Alaska,Denali ,Not in a city,1998-12-19
,77.88095238095234,13.329931972789115,23.66326530612245,98.59863945578236,North Dakota,Mercer,Not in a city,1992-08-15
,70.59309021113245,13.017274472168904,23.800383877159305,99.1727447216891,Indiana,DeKalb,Not in a city,1999-05-12
,78.94375000000002,13.676562499999983,23.8296875,99.2984375,California,Marin,Not in a city,2005-06-07
,82.41575262543756,13.99066511085181,23.877479579929982,99.49474912485424,Hawaii,Honolulu,Not in a city,2018-08-22
,49.93784194528877,12.229483282674764,23.9468085106383,99.7781155015198,North Dakota,Williams,Not in a city,2007-03-03
,63.25308310991958,13.06300268096515,23.94638069705093,99.77882037533506,Hawaii,Honolulu,Not in a city,2021-11-07
,82.95367847411445,13.724795640326978,23.7874659400545,99.11989100817432,Ohio,Columbiana,East Liverpool,1994-07-19
,71.06228373702425,13.397923875432523,23.82698961937716,99.28027681660905,North Dakota,Mercer,Not in a city,1992-10-23
,65.62254025044723,11.73703041144902,23.810375670840788,99.21466905187836,North Dakota,Williams,Not in a city,2001-10-25
,85.1323907455012,13.958868894601526,23.81619537275065,99.23650385604104,Hawaii,Honolulu,Not in a city,2021-08-02
,70.17325227963522,13.610942249240118,23.446808510638306,97.70516717325228,Alaska,Denali ,Not in a city,1993-06-01
,67.80565371024738,13.194346289752652,23.53003533568905,98.0671378091873,North Dakota,Mercer,Not in a city,1991-10-18
,78.42293906810033,12.767025089605731,23.70609318996418,98.79211469534054,Arkansas,Mississippi,Not in a city,1991-09-16
,64.47051460361617,12.835883171070932,23.86648122392212,99.4492350486788,Arizona,Maricopa,Scottsdale,2009-10-23
,51.37707082833131,10.943577430972384,23.96758703481393,99.86554621848728,Hawaii,Honolulu,Not in a city,2018-11-17
,45.793503480278375,13.10208816705337,23.70997679814384,98.80278422273784,Alaska,Denali ,Not in a city,1996-01-09
,77.24004914004918,13.760442260442266,23.85995085995088,99.42874692874682,Hawaii,Honolulu,Not in a city,2011-09-20
,64.49119718309844,12.27288732394366,23.968309859154928,99.86971830985928,North Dakota,Williams,Not in a city,2001-04-15
,41.46166950596254,13.43781942078364,23.85008517887564,99.37819420783644,California,Marin,Not in a city,2004-01-28
,52.76759708737865,13.667475728155342,23.856796116504867,99.40776699029122,Hawaii,Honolulu,Not in a city,2018-02-26
,67.40460199004974,12.04477611940297,23.91666666666664,99.65298507462693,Arizona,Maricopa,Phoenix,2014-10-12
,56.32607626076258,14.237392373923733,23.87822878228784,99.49815498154985,Hawaii,Honolulu,Not in a city,2020-03-17
,89.05220125786163,13.690566037735843,23.849056603773604,99.37610062893091,Hawaii,Honolulu,Not in a city,2011-08-26
,54.44402985074628,11.17164179104478,23.942164179104463,99.76492537313426,Indiana,DeKalb,Not in a city,2000-11-07
,78.65883211678832,13.6963503649635,23.91532846715329,99.65109489051096,North Dakota,Williams,Not in a city,2007-05-10
,59.357456140350855,12.039473684210533,23.72149122807017,98.84868421052632,Alaska,Denali ,Not in a city,1997-03-11
,63.48000000000001,13.018666666666665,23.693333333333324,98.73066666666662,Ohio,Columbiana,East Liverpool,1994-10-13
,49.064378698224864,11.37514792899408,23.919526627218957,99.6686390532543,New Jersey,Essex,Newark,2017-02-01
,81.04968944099383,14.066252587991729,23.90890269151141,99.6231884057972,Alaska,Denali ,Not in a city,1997-07-05
,72.03232462173307,13.793672627235216,23.93259972489682,99.72077028885823,Alaska,Denali ,Not in a city,2008-05-25
,63.68997524752483,14.30445544554456,23.904702970297027,99.60519801980196,Arizona,Maricopa,Phoenix,2012-03-12
,55.16113744075832,12.464454976303312,23.96208530805686,99.84834123222744,North Dakota,Mercer,Not in a city,1990-03-18
,56.28026004728133,12.864066193853436,23.93262411347519,99.725768321513,Hawaii,Honolulu,Not in a city,2017-02-17
,77.10511742892452,13.30902348578491,23.91718170580964,99.65636588380724,Arizona,Maricopa,Phoenix,2012-09-23
,52.57506561679784,11.822834645669293,23.78083989501313,99.0905511811023,Hawaii,Honolulu,Not in a city,2011-02-28
,68.05253576072822,13.045513654096238,23.824447334200247,99.27568270481144,Hawaii,Honolulu,Not in a city,2015-03-31
,75.81727574750823,11.770764119601331,23.965116279069758,99.85714285714286,North Dakota,Williams,Not in a city,2003-05-31
,52.74770642201835,13.756880733944955,23.894495412844037,99.56422018348626,Alaska,Denali ,Not in a city,1996-03-10
,54.93837535014005,13.453781512605037,23.95798319327732,99.82633053221288,Ohio,Adams,Not in a city,1994-11-11
,59.7046666666667,12.85733333333333,23.787999999999982,99.1253333333334,Hawaii,Honolulu,Not in a city,2021-11-04
,58.255707762557066,11.75342465753425,23.62100456621004,98.43378995433788,North Dakota,Mercer,Not in a city,1990-04-04
,67.58860759493668,12.546413502109704,23.84177215189873,99.34388185654008,Delaware,New Castle,Not in a city,1997-10-18
,72.06893081761,13.018867924528315,23.830188679245296,99.30314465408809,Hawaii,Honolulu,Not in a city,2011-10-11
