CONSOLIDATION,POLLING PLACE,POLLING PLACE STREET,POLLING PLACE CITY,POLLING PLACE ZIP,POLL TYPE,PRECINCT
900-1785A,MESSIAH BAPTIST CHURCH,4500 W ADAMS BLVD,LOS ANGELES,90016,CHUR1,900-5503E
900-1623A,KOREAN INSTITUTE OF SO CAL,4900 WILSHIRE BLVD,LOS ANGELES,90010,SC-PR,900-1623G
900-1617A,ST PAUL EVANGELICAL LUTH CHR,3901 W ADAMS BLVD,LOS ANGELES,90018,CHURC,900-1760A
900-0284C,ST MARKS METHODIST CHURCH,8305 S GRAMERCY PL,LOS ANGELES,90047,CHUR1,900-2212C
900-2299A,THE WORKMENS CIRCLE,1525 S ROBERTSON BLVD,LOS ANGELES,90035,BUS.,900-1482B
900-0006A,RESIDENCE,78 FREMONT PL,LOS ANGELES,90005,RES,900-5299E
900-2177A,A RENEE & M LUSKIN ACADEMY HS,2941 W 070TH ST,LOS ANGELES,90043,LAUSD,900-2177D
900-1716A,ARLINGTON HEIGHTS ELEM SCH,1717 007TH AVE,LOS ANGELES,90019,LAUSD,900-1724A
751-0009B,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0009E
900-5504C,MERIDIAN OF CHEVIOT HILLS,3340 SHELBY DR,LOS ANGELES,90034,SRHMS,900-1982A
767-0004A,GREATER TRUE VINE TEMPLE,9616 S NORMANDIE AVE,LOS ANGELES,90044,CHUR1,767-0027A
900-5299B,HUNGARIAN REFORMED CHURCH,751 CRENSHAW BLVD,LOS ANGELES,90005,CHURC,900-5299C
900-1502A,CULVER PALMS CHURCH OF CHRIST,9733 VENICE BLVD,LOS ANGELES,90034,CHURC,900-1051F
900-1716A,ARLINGTON HEIGHTS ELEM SCH,1717 007TH AVE,LOS ANGELES,90019,LAUSD,900-1572A
900-2095A,CHRIST THE GOOD SHEPHERD CHR,3303 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2095C
900-2477A,NORMANDIE SENIOR HOUSING,6301 S NORMANDIE AVE,LOS ANGELES,90044,SRHMS,900-0565B
900-7221A,WESTSIDE JEWISH COMM CENTER,5870 W OLYMPIC BLVD,LOS ANGELES,90036,RELFA,900-2855B
900-2362A,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-2362C
