DBN,School Name,School Pupil-Teacher Ratio
27Q060,P.S. 060 WOODHAVEN,15.80595
24Q058,P.S. 58 - THE SCHOOL OF HEROES,16.58514
27Q056,P.S. 056 HARRY EICHLER,15.43742
28Q055,P.S. 055 MAURE,16.77358
28Q054,P.S. 054 HILLSIDE,14.71056
29Q052,P.S. 052 QUEENS,15.8535
27Q051,P.S. 051,13.78205
28Q050,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,16.11954
28Q048,P.S. 048 WILLIAM WORDSWORTH,14.15301
26Q046,P.S. 046 ALLEY POND,12.09492
27Q045,P.S. 045 CLARENCE WITHERSPOON,15.10123
26Q041,P.S. 041 CROCHERON,14.93388
28Q040,P.S. 040 SAMUEL HUNTINGTON,12.76953
29Q038,P.S. 038 ROSEDALE,14.73681
29Q037,CYNTHIA JENKINS SCHOOL,14.1909
29Q036,P.S. 036 SAINT ALBANS SCHOOL,15.11647
29Q035,P.S. 035 NATHANIEL WOODHULL,16.1284
29Q034,P.S. 034 JOHN HARVARD,18.17547
29Q033,P.S. 033 EDWARD M. FUNK,18.74391
25Q032,P.S. 032 STATE STREET,16.55059
26Q031,P.S. 031 BAYSIDE,14.81595
25Q029,P.S. 029 QUEENS,15.68334
24Q028,P.S. 28 - THE THOMAS EMANUEL EARLY CHILDHOOD CENTER,14.47394
26Q026,P.S. 026 RUFUS KING,16.99256
25Q024,P.S. 024 ANDREW JACKSON,17.56695
25Q022,P.S. 022 THOMAS JEFFERSON,14.18107
25Q021,P.S. 021 EDWARD HART,17.97661
25Q020,P.S. 020 JOHN BOWNE,17.06577
24Q019,P.S. 019 MARINO JEANTET,15.13769
26Q018,P.S. 018 WINCHESTER,16.85337
30Q017,P.S. 017 HENRY DAVID THOREAU,14.81016
24Q016,P.S. Q016 THE NANCY DEBENEDITTIS SCHOOL,16.04299
29Q015,P.S. 015 JACKIE ROBINSON,15.49325
24Q014,P.S. 014 FAIRVIEW,18.21331
24Q013,P.S. 013 CLEMENT C. MOORE,16.95985
24Q012,P.S. 012 JAMES B. COLGATE,16.07748
30Q011,P.S. 011 KATHRYN PHELAN,15.64104
24Q007,P.S. 007 LOUIS F. SIMEONE,15.65573
30Q002,P.S. 002 ALFRED ZIMBERG,14.99885
04M964,CENTRAL PARK EAST II,11.30248
02M527,PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,14.4375
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,15.58856
03M452,P.S. 452,13.86096
02M397,SPRUCE STREET SCHOOL,14.0741
04M375,MOSAIC PREPARATORY ACADEMY,10.33998
06M368,HAMILTON HEIGHTS SCHOOL,13.3125
01M364,EARTH SCHOOL,13.63112
01M363,NEIGHBORHOOD SCHOOL,12.64847
01M361,THE CHILDREN'S WORKSHOP SCHOOL,12.4947
02M343,THE PECK SLIP SCHOOL,12.37693
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,12.24971
06M325,P.S. 325,8.8979
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,15.13506
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,12.34388
06M314,MUSCOTA,14.77436
06M311,AMISTAD DUAL LANGUAGE SCHOOL,14.33044
02M290,P.S. 290 MANHATTAN NEW SCHOOL,16.47615
05M286,I.S. M286 RENAISSANCE LEADERSHIP ACADEMY,16.25
02M281,THE RIVER SCHOOL,11.35922
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",14.11429
03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,11.04
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,9.30851
03M241,STEM INSTITUTE OF MANHATTAN,9.694717
02M234,P.S. 234 INDEPENDENCE SCHOOL,15.26432
02M212,P.S. 212 MIDTOWN WEST,18.20608
03M208,P.S. 208 ALAIN L. LOCKE,10.62151
05M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,12.31511
03M199,P.S. 199 JESSIE ISADOR STRAUS,19.71228
02M198,P.S. 198 ISADOR E. IDA STRAUS,14.34087
05M197,P.S. 197 JOHN B. RUSSWURM,10.11212
05M194,P.S. 194 COUNTEE CULLEN,9.511767
06M192,P.S. 192 JACOB H. SCHIFF,12.34693
06M189,P.S. 189,15.65057
03M185,P.S. 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL,13.21779
02M183,P.S. 183 ROBERT L. STEVENSON,14.54392
04M182,THE BILINGUAL BICULTURAL SCHOOL,13.60776
06M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,12.13213
05M175,P.S. 175 HENRY H GARNET,15.28268
06M173,P.S. 173,13.78835
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,15.36121
03M163,P.S. 163 ALFRED E. SMITH,15.11822
02M158,P.S. 158 BAYARD TAYLOR,15.82753
04M155,P.S. 155 WILLIAM PACA,11.74925
05M154,P.S. 154 HARRIET TUBMAN,14.90104
06M153,P.S. 153 ADAM CLAYTON POWELL,16.08589
06M152,P.S. 152 DYCKMAN VALLEY,15.00901
02M151,YORKVILLE COMMUNITY SCHOOL,13.78142
02M150,P.S. 150,17.85906
04M146,P.S. 146 ANN M. SHORT,11.97166
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",10.32976
01M142,P.S. 142 AMALIA CASTRO,12.37712
01M137,P.S. 137 JOHN L. BERNSTEIN,10.09171
01M134,P.S. 134 HENRIETTA SZOLD,9.823008
05M133,P.S. 133 FRED R MOORE,9.142308
06M132,P.S. 132 JUAN PABLO DUARTE,12.07388
02M130,P.S. 130 HERNANDO DE SOTO,19.01537
06M128,P.S. 128 AUDUBON,12.45945
05M125,P.S. 125 RALPH BUNCHE,16.07956
02M124,P.S. 124 YUNG WING,15.3848
02M116,P.S. 116 MARY LINDLEY MURRAY,14.41463
06M115,P.S. 115 ALEXANDER HUMBOLDT,14.608
04M112,P.S. 112 JOSE CELSO BARBOSA,6.580088
02M111,P.S. 111 ADOLPH S. OCHS,11.36908
01M110,P.S. 110 FLORENCE NIGHTINGALE,14.72584
06M103,DOS PUENTES ELEMENTARY SCHOOL,15.60147
04M102,P.S. 102 JACQUES CARTIER,11.14667
06M098,P.S. 098 SHORAC KAPPOCK,14.13721
05M092,P.S. 092 MARY MCLEOD BETHUNE,10.79267
02M089,P.S. 89,15.28967
03M087,P.S. 087 WILLIAM SHERMAN,14.40537
03M084,P.S. 084 LILLIAN WEBER,16.31172
04M083,P.S. 083 LUIS MUNOZ RIVERA,15.22087
02M077,P.S. 77 LOWER LAB SCHOOL,20.61547
03M076,P.S. 076 A. PHILIP RANDOLPH,15.85307
03M075,P.S. 075 EMILY DICKINSON,9.871875
01M064,P.S. 064 ROBERT SIMON,9.304845
01M063,THE STAR ACADEMY - P.S.63,10.58844
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,15.51374
04M057,JAMES WELDON JOHNSON,12.175
02M051,P.S. 051 ELIAS HOWE,12.36321
06M048,P.S. 048 P.O. MICHAEL J. BUCZEK,12.94501
02M042,P.S. 042 BENJAMIN ALTMAN,14.50508
02M041,P.S. 041 GREENWICH VILLAGE,15.73611
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,16.90727
04M038,P.S. 38 ROBERTO CLEMENTE,9.947407
04M037,RIVER EAST ELEMENTARY,11.39736
05M036,P.S. 036 MARGARET DOUGLAS,12.12952
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,10.92817
02M033,P.S. 033 CHELSEA PREP,17.33746
05M030,P.S. 030 HERNANDEZ/HUGHES,7.365131
06M028,P.S. 028 WRIGHT BROTHERS,12.01819
01M020,P.S. 020 ANNA SILVER,13.33424
01M019,P.S. 019 ASHER LEVY,6.971557
01M015,P.S. 015 ROBERTO CLEMENTE,9.245573
02M011,P.S. 011 WILLIAM T. HARRIS,15.0206
03M009,P.S. 009 SARAH ANDERSON,14.51307
06M008,P.S. 008 LUIS BELLIARD,13.98729
02M006,P.S. 006 LILLIE D. BLAKE,17.48943
06M005,P.S. 005 ELLEN LURIE,13.12902
06M004,P.S. 004 DUKE ELLINGTON,13.75649
02M003,P.S. 003 CHARRETTE SCHOOL,15.6433
02M002,P.S. 002 MEYER LONDON,11.70623
02M001,P.S. 001 ALFRED E. SMITH,11.65984
20K971,"SCHOOL OF MATH, SCIENCE, AND HEALTHY LIVING",11.85546
15K839,M.S. 839,13.94736
17K770,P.S. 770 NEW AMERICAN ACADEMY,14.69862
19K760,HIGHLAND PARK COMMUNITY SCHOOL,15.87212
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,16.02564
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,12.32767
20K686,BROOKLYN SCHOOL OF INQUIRY,18.31353
20K682,THE ACADEMY OF TALENTED SCHOLARS,6.865513
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,12.20009
15K676,RED HOOK NEIGHBORHOOD SCHOOL,13.66678
