all/school_esl.DBN,all/school_esl.Grade,all/school_esl.Year,all/school_esl.Category,all/school_esl.Number Tested,all/school_esl.Mean Scale Score,all/school_esl.Level 1 #,all/school_esl.Level 1 %,all/school_esl.Level 2 #,all/school_esl.Level 2 %,all/school_esl.Level 3 #,all/school_esl.Level 3 %,all/school_esl.Level 4 #,all/school_esl.Level 4 %,all/school_esl.Level 3+4 #,all/school_esl.Level 3+4 %
30Q078,3,2009,All Students,36,662.0,1.0,2.8,9.0,25.0,25.0,69.4,1.0,2.8,26.0,72.2
04M045,7,2009,All Students,100,644.0,2.0,2.0,59.0,59.0,39.0,39.0,0.0,0.0,39.0,39.0
19K202,8,2009,All Students,100,650.0,1.0,1.0,47.0,47.0,51.0,51.0,1.0,1.0,52.0,52.0
25Q193,5,2009,All Students,77,670.0,0.0,0.0,18.0,23.4,49.0,63.6,10.0,13.0,59.0,76.6
04M038,All Grades,2006,All Students,220,,35.0,15.9,96.0,43.6,87.0,39.5,2.0,0.9,89.0,40.5
09X004,7,2008,All Students,75,645.0,4.0,5.3,40.0,53.3,31.0,41.3,0.0,0.0,31.0,41.3
75X186,5,2011,All Students,37,623.0,25.0,67.6,12.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0
07X298,7,2009,All Students,74,643.0,2.0,2.7,39.0,52.7,32.0,43.2,1.0,1.4,33.0,44.6
03M334,3,2006,All Students,56,716.0,0.0,0.0,0.0,0.0,41.0,73.2,15.0,26.8,56.0,100.0
19K364,7,2008,All Students,112,662.0,1.0,0.9,28.0,25.0,81.0,72.3,2.0,1.8,83.0,74.1
23K178,5,2007,All Students,72,660.0,2.0,2.8,22.0,30.6,47.0,65.3,1.0,1.4,48.0,66.7
08X119,3,2010,All Students,147,658.0,30.0,20.4,66.0,44.9,40.0,27.2,11.0,7.5,51.0,34.7
75R025,3,2007,All Students,7,605.0,3.0,42.9,2.0,28.6,2.0,28.6,0.0,0.0,2.0,28.6
32K086,All Grades,2006,All Students,191,,27.0,14.1,70.0,36.6,92.0,48.2,2.0,1.0,94.0,49.2
10X225,6,2010,All Students,67,649.0,19.0,28.4,40.0,59.7,8.0,11.9,0.0,0.0,8.0,11.9
23K634,7,2009,All Students,60,649.0,1.0,1.7,29.0,48.3,30.0,50.0,0.0,0.0,30.0,50.0
21K100,4,2007,All Students,114,661.0,12.0,10.5,24.0,21.1,69.0,60.5,9.0,7.9,78.0,68.4
01M020,6,2006,All Students,101,657.0,2.0,2.0,35.0,34.7,56.0,55.4,8.0,7.9,64.0,63.4
